SourceName,SourceLink,SourceDescription,ProcessingNotes,Added by,Distribute,Parent
"EEG Seizure Dataset: Andrzejak, Bonn University",http://epileptologie-bonn.de/cms/front_content.php?idcat=193&lang=3&changelang=3,"The data analyzed in our study (Andrzejak RG, Lehnertz K, Rieke C, Mormann F, David P, Elger CE (2001) Indications of nonlinear deterministic and finite dimensional structures in time series of brain electrical activity: Dependence on recording region and brain state, Phys. Rev. E, 64, 061907) is available at this source.
The sampling rate of the data was 173.61 Hz. For a more detailed description of the data please refer to the manuscript
Please note, however, that the time series have the spectral bandwith of the aquisition system, which is 0.5 Hz to 85 Hz.
The application of a low-pass filter of 40 Hz, as described in the manuscript, is regarded as the first step of analysis and therefore not carried out for the downloadable time series.
Everyone is invited to send their comments or questions by email: ralphandrzejak @ yahoo.de (remove the spaces in the address)","I  low-pass filtered the data at 40Hz using a Butterworth filter (cf. lowpass_eeg function obtainable from Ben Fulcher)
Tags were added for the 5 classes of data:
SET A: 'Z': healthy,eyesopen,setA
SET B: 'O': medical,eeg,healthy,eyesclosed,setB
SET C: 'N' (non-epileptic regions of EEG from hippocampal formation): seizurefree,hippocampalformation,setC
Set D: 'F': seizurefree,epileptogeniczone,setD
Set E: 'S': seizure,ictal,setE",Ben Fulcher,
Ben making rmpnoise,,"Powerlaw noise time series of length 20000, generated using rmpnoise for alpha = -1:0.02:3
Uses (deterministic) code rmpnoise.m by Max Little
cf. Little MA et al. (2007), ""Exploiting nonlinear recurrence and fractal scaling properties for voice disorder detection"", Biomed Eng Online, 6:23",,Ben Fulcher,1
DNA Pore Beth,,"DNA Pore measurements from Beth Jelfs, working on a project with Oxford Chemistry
Pores are of adenine, guanine, thymine, or cytosine, and are labeled",Ben Fulcher 18/10/2010,Ben Fulcher,8
Antoniya Georgieva Fetal Heart Rate,,"Fetal heart rate data provided by Antoniya Georgieva, Christopher Redman
EXTREMELY SENSITIVE and definitely not for distribution","Time series annotated with their fids
see the readingfhr.m script for information on how bad values were dealt with",Ben Fulcher,8
Joe Tobias Birdsong Data,"Joseph Tobias, joseph.tobias@zoo.ox.ac.uk",Bird song related to a phylogeny -- see if any features of the birdsong map to the structure of the phyologenetic tree??,,Ben Fulcher,8
Timmer nonstationary autoregressive processes,,"These processes were described and analyzed in J. Timmer, Power of surrogate data testing with respect to nonstationarity, Phys. Rev. E, 58:5153 (1998).
See Time Series List supplement of B. D. Fulcher, M. A. Little, N. S. Jones, J. R. Soc. Interface, vol. 10 10.1098/rsif.2013.0048, where these three datasets are described in full and with detail",Ben Fulcher 27/1/2011,Ben Fulcher,1
Nonlinear observation autoregressive,,"Autoregressive time series on a time-lag of 1 with coefficient -0.9, -0.5, -0.1, 0.1, 0.5, or 0.9, then put through a given nonlinear observation function (a polynomial of some order, or exponential, or sinusoid).
10000 samples long with a removed transient of 1000 samples.
Inspired by the process shown in Schreiber, Schmitz (2000), Eqs. 1,2","Generated by nonlinearobsAR.m
cf. related code MkSg_AR.m
Ben Fulcher 28/1/2011",Ben Fulcher,1
Faes nonlinear AR process Ben,,"This process was Eq. (3) in Guarin et al., arXiv (2001). See the time series list supplement in the Royal Soc paper for details.
We generated time series with N = 10000 samples from this process using a1 = 3.2, 3.4, 3.6, and a2 = _0.1, 0.5, 0.8, 0.9.
For each parameter combination we outputted five different realizations for different initial conditions, and treated the first 1000 samples as a transient (i.e., 11 000 samples were generated, and the time series treated as the latter 10 000 samples).","described in Guarin (IEEE Transactions on Biomedical Engineering)
(on arXiv Jan. 2011). References Faes, Zhao, et al. (2009)
Ben Fulcher 2/2/2011",Ben Fulcher,1
Mood data from Paul Moore,Paul Moore <Paul.Moore@maths.ox.ac.uk>,"The series have between 100-200 points, and they are integers with a range from 0-27",,Ben Fulcher,
Keogh Datamining,,Datamining datasets from the UCR Time-Series Clustering and Classification Database,,Ben Fulcher,13
Ben Low-dimensional systems,,Datasets generated from low-dimensional systems project,,Ben Fulcher,13
